                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1176,                0.74899,                0.88796,                0.90902,                0.89714,                0.95528,                0.63298,                 1.1372,                 0.7945,                0.83242,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1543,                0.77697,                0.91619,                0.94269,                0.93987,                0.97935,                0.63867,                  1.118,                0.71294,                0.83509,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0389,                0.77965,                0.87383,                0.94835,                0.94435,                0.98334,                0.66049,                 1.0582,                0.68463,                0.82828,               0.000911,               0.000911,               0.000911
                     58,                0.99972,                0.72431,                0.89128,                0.97802,                   0.92,                0.98054,                0.68273,                 1.0042,                0.67732,                0.81621,              0.0008912,              0.0008912,              0.0008912
                     59,                   1.04,                0.74034,                0.87269,                0.92101,                0.93286,                0.97163,                0.65475,                 1.0788,                0.75667,                0.81944,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0563,                0.72988,                0.86448,                0.96368,                0.90967,                0.98285,                 0.6774,                 1.0109,                0.66816,                0.80949,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0298,                 0.7207,                0.89028,                0.95938,                0.94471,                0.98504,                0.69474,                0.95706,                 0.6448,                0.80593,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0347,                0.73201,                0.89963,                0.93794,                0.94996,                0.98311,                0.71102,                0.93926,                0.60413,                0.80817,               0.000812,               0.000812,               0.000812
                     63,                 1.0064,                0.71766,                0.88567,                0.94798,                0.94857,                0.98543,                0.69177,                  1.023,                0.62746,                0.81825,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0712,                0.71824,                0.90356,                0.94879,                0.95285,                0.98675,                0.69575,                0.99842,                0.62036,                0.81657,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0497,                0.69723,                  0.841,                0.95361,                0.93974,                0.98779,                0.72378,                0.91765,                0.61628,                0.80972,              0.0007526,              0.0007526,              0.0007526
                     66,                0.98112,                0.68473,                0.88815,                0.96499,                0.94492,                0.98405,                0.69014,                0.97715,                0.59476,                0.81194,              0.0007328,              0.0007328,              0.0007328
                     67,                0.99376,                0.66666,                0.86629,                0.95909,                0.93776,                0.98801,                0.68339,                0.98157,                0.59009,                0.81406,               0.000713,               0.000713,               0.000713
                     68,                0.97613,                0.66869,                0.85039,                0.97071,                0.94696,                0.98825,                0.71146,                0.92488,                0.58774,                0.80831,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.029,                0.70532,                0.87954,                 0.9746,                0.95429,                0.98968,                0.72834,                0.89115,                0.57858,                0.80507,              0.0006734,              0.0006734,              0.0006734
                     70,                0.97256,                 0.6345,                 0.8643,                0.97586,                0.96571,                0.99097,                0.69864,                 0.9568,                0.58701,                0.81038,              0.0006536,              0.0006536,              0.0006536
                     71,                0.94343,                0.63069,                0.87615,                0.98585,                0.94286,                0.98928,                0.70667,                0.97018,                 0.5827,                0.81448,              0.0006338,              0.0006338,              0.0006338
                     72,                0.95249,                0.63896,                0.86683,                0.96657,                0.94857,                0.98895,                0.73883,                0.88862,                 0.5725,                0.80567,               0.000614,               0.000614,               0.000614
                     73,                0.92339,                0.61238,                0.87436,                0.97919,                0.94857,                0.99019,                 0.7328,                0.90277,                0.56459,                0.80773,              0.0005942,              0.0005942,              0.0005942
                     74,                0.89543,                0.62833,                0.86204,                0.98261,                0.96852,                0.99195,                0.71152,                0.92668,                0.57179,                0.80567,              0.0005744,              0.0005744,              0.0005744
                     75,                0.87503,                0.59037,                0.86309,                0.99124,                0.95429,                0.99143,                0.71014,                0.93787,                0.56285,                0.80492,              0.0005546,              0.0005546,              0.0005546
